count,nisin,day,temperature,ph,strain,inoculum,milk_batch,milk_age,milk_apc,cheese_make,cheese_plate,rep
315000000,N,1,6,6.5,10403S,18400000,10-Dec-16,12,30.6,1-Dec-16,a,1
239000000,N,1,6,6.5,5621,20500000,10-Dec-16,12,30.6,1-Dec-16,a,1
835000000,N,1,6,6.5,5623,21500000,10-Dec-16,12,30.6,1-Dec-16,a,1
611500000,N,1,6,6.5,5624,17400000,10-Dec-16,12,30.6,1-Dec-16,a,1
773000000,N,1,6,6.5,5625,16300000,10-Dec-16,12,30.6,1-Dec-16,a,1
1725000,Y,1,6,6.5,10403S,18400000,10-Dec-16,12,30.6,1-Dec-16,b,1
1057500,Y,1,6,6.5,5621,20500000,10-Dec-16,12,30.6,1-Dec-16,b,1
1055000,Y,1,6,6.5,5623,21500000,10-Dec-16,12,30.6,1-Dec-16,b,1
617000,Y,1,6,6.5,5624,17400000,10-Dec-16,12,30.6,1-Dec-16,b,1
691500,Y,1,6,6.5,5625,16300000,10-Dec-16,12,30.6,1-Dec-16,b,1
586500000,N,7,6,6.5,10403S,18400000,10-Dec-16,12,30.6,1-Dec-16,c,1
6020000000,N,7,6,6.5,5621,20500000,10-Dec-16,12,30.6,1-Dec-16,c,1
1191500000,N,7,6,6.5,5623,21500000,10-Dec-16,12,30.6,1-Dec-16,c,1
1160000000,N,7,6,6.5,5624,17400000,10-Dec-16,12,30.6,1-Dec-16,c,1
988500000,N,7,6,6.5,5625,16300000,10-Dec-16,12,30.6,1-Dec-16,c,1
132000,Y,7,6,6.5,10403S,18400000,10-Dec-16,12,30.6,1-Dec-16,d,1
375000,Y,7,6,6.5,5621,20500000,10-Dec-16,12,30.6,1-Dec-16,d,1
1004000,Y,7,6,6.5,5623,21500000,10-Dec-16,12,30.6,1-Dec-16,d,1
493000,Y,7,6,6.5,5624,17400000,10-Dec-16,12,30.6,1-Dec-16,d,1
2390000,Y,7,6,6.5,5625,16300000,10-Dec-16,12,30.6,1-Dec-16,d,1
898500000,N,14,6,6.5,10403S,18400000,10-Dec-16,12,30.6,1-Dec-16,e,1
1329000000,N,14,6,6.5,5621,20500000,10-Dec-16,12,30.6,1-Dec-16,e,1
1655000000,N,14,6,6.5,5623,21500000,10-Dec-16,12,30.6,1-Dec-16,e,1
1655000000,N,14,6,6.5,5624,17400000,10-Dec-16,12,30.6,1-Dec-16,e,1
1573500000,N,14,6,6.5,5625,16300000,10-Dec-16,12,30.6,1-Dec-16,e,1
1070000,Y,14,6,6.5,10403S,18400000,10-Dec-16,12,30.6,1-Dec-16,f,1
34300000,Y,14,6,6.5,5621,20500000,10-Dec-16,12,30.6,1-Dec-16,f,1
82350000,Y,14,6,6.5,5623,21500000,10-Dec-16,12,30.6,1-Dec-16,f,1
16150000,Y,14,6,6.5,5624,17400000,10-Dec-16,12,30.6,1-Dec-16,f,1
88700000,Y,14,6,6.5,5625,16300000,10-Dec-16,12,30.6,1-Dec-16,f,1
616500000,N,1,6,6.5,10403S,10200000,13-Jan-17,10,0,2-Jan-17,a,2
682500000,N,1,6,6.5,5621,24600000,13-Jan-17,10,0,2-Jan-17,a,2
889500000,N,1,6,6.5,5623,41900000,13-Jan-17,10,0,2-Jan-17,a,2
645500000,N,1,6,6.5,5624,43900000,13-Jan-17,10,0,2-Jan-17,a,2
